Date,Open,High,Low,Close,Adj Close,Volume
2000-12-11,37.75,39.9375,37.625,37.9375,28.070261001586914,12300
2000-12-12,37.8125,42.25,37.8125,42.25,31.2611141204834,15000
2000-12-13,40.15625,42.1875,37.0,40.75,30.151235580444336,23000
2000-12-14,38.75,40.0,36.0,37.9375,28.070261001586914,8400
2000-12-15,37.9375,40.25,36.8125,39.9375,29.55006980895996,9000
2000-12-18,39.90625,41.5,39.5,41.5,30.706172943115234,6600
2000-12-19,40.0,43.5625,39.125,42.375,31.353588104248047,8900
2000-12-20,44.0,45.0,41.0,45.0,33.29587173461914,15300
2000-12-21,43.25,43.25,40.0,42.0,31.076126098632812,7300
2000-12-22,40.9375,41.5,38.8125,38.8125,28.717674255371094,6900
2000-12-26,39.8125,40.5625,37.0,37.25,27.561569213867188,7700
2000-12-27,38.0,38.0,36.5,36.5,27.006633758544922,19200
2000-12-28,36.25,37.359375,36.25,36.9375,27.330347061157227,10900
2000-12-29,36.25,38.3125,36.25,37.875,28.024015426635742,7600
2001-01-02,38.0,38.0,36.5,36.75,27.191621780395508,3800
2001-01-03,38.0625,38.75,36.75,36.875,27.284099578857422,1900
2001-01-04,37.0,38.75,37.0,37.125,27.46906852722168,6300
2001-01-05,38.6875,38.6875,37.5,37.75,27.931528091430664,5100
2001-01-08,39.0,39.0,39.0,39.0,28.856422424316406,800
2001-01-09,38.75,39.0,37.75,37.8125,27.97776985168457,3900
2001-01-10,39.25,40.1875,38.8125,39.6875,29.365100860595703,7100
2001-01-11,40.0,41.6875,39.5,41.6875,30.844911575317383,3200
2001-01-12,41.25,41.5,40.125,41.0,30.336223602294922,3600
2001-01-16,41.0,41.625,40.0,41.0,30.336223602294922,2000
2001-01-17,45.0,45.125,41.5625,42.0,31.076126098632812,17100
2001-01-18,41.5,43.875,41.5,43.875,32.46345520019531,13500
2001-01-19,41.96875,43.9375,40.0,42.25,31.2611141204834,14000
2001-01-22,42.0,43.0,41.0625,41.6875,30.844911575317383,1700
2001-01-23,40.0625,42.09375,40.0625,41.5,30.706172943115234,1900
2001-01-24,40.0,42.5,40.0,40.5,29.96626853942871,7000
2001-01-25,40.625,40.9375,40.5625,40.625,30.058765411376953,1700
2001-01-26,40.90625,40.9375,40.625,40.625,30.058765411376953,6500
2001-01-29,40.5625,40.6875,40.5625,40.625,30.058765411376953,3500
2001-01-30,40.5,40.5625,39.0625,39.125,28.948894500732422,9900
2001-01-31,40.0,40.875,39.375,40.8125,30.197484970092773,3400
2001-02-01,40.875,40.875,39.375,39.375,29.13386344909668,7400
2001-02-02,40.8125,40.8125,39.625,40.0,29.596311569213867,8500
2001-02-05,39.75,39.9375,39.375,39.75,29.411338806152344,9700
2001-02-06,40.25,40.25,39.3125,39.9375,29.55006980895996,3700
2001-02-07,40.0,41.0,39.9375,40.25,29.781295776367188,10700
2001-02-08,39.625,40.875,39.5,40.875,30.243738174438477,4900
2001-02-09,39.953125,40.4375,39.8125,40.4375,29.920034408569336,2400
2001-02-12,41.125,42.25,41.0625,41.375,30.613677978515625,48200
2001-02-13,40.0,41.9375,39.5,40.5625,30.01250457763672,9400
2001-02-14,40.1875,41.25,40.1875,40.5625,30.198646545410156,2500
2001-02-15,39.5625,40.75,39.5625,39.75,29.59373664855957,1200
2001-02-16,40.0,42.5,40.0,41.6875,31.03619956970215,8700
2001-02-20,40.875,42.0,40.0625,41.0,30.52435302734375,6600
2001-02-21,39.15625,41.203125,39.125,40.5,30.15210723876953,2500
2001-02-22,41.375,41.4375,39.625,40.0,29.77985954284668,3000
2001-02-23,39.625,41.0,39.4375,41.0,30.52435302734375,2600
2001-02-26,41.4375,41.4375,40.5625,40.5625,30.198646545410156,8500
2001-02-27,41.1875,41.1875,39.375,40.390625,30.070674896240234,5200
2001-02-28,40.46875,40.46875,39.0,39.0,29.03536605834961,11700
2001-03-01,38.875,39.6875,38.875,39.1875,29.17496109008789,3000
2001-03-02,39.1875,42.0,39.1875,42.0,31.268840789794922,7200
2001-03-05,41.0,41.9375,39.0,39.25,29.22149085998535,8100
2001-03-06,41.90625,41.90625,40.5,40.5,30.15210723876953,3000
2001-03-07,40.28125,41.40625,39.0,39.0,29.03536605834961,5500
2001-03-08,39.25,39.5,39.09375,39.5,29.407615661621094,6900
2001-03-09,40.0,40.0,39.5625,39.9375,29.733333587646484,4100
2001-03-12,39.625,39.75,39.25,39.25,29.22149085998535,2600
2001-03-13,40.0,40.5,38.5,39.625,29.500669479370117,5800
2001-03-14,38.5625,39.4375,38.5,39.0,29.03536605834961,2700
2001-03-15,40.75,41.25,39.625,41.25,30.71047592163086,8200
2001-03-16,41.25,41.625,37.6875,38.0625,28.33739471435547,9500
2001-03-19,40.0,40.0,38.5625,39.375,29.314546585083008,7500
2001-03-20,40.0,40.4375,39.875,40.0,29.77985954284668,3000
2001-03-21,40.375,40.375,39.0,39.0,29.03536605834961,3800
2001-03-22,39.0,39.984375,38.375,39.1875,29.17496109008789,4400
2001-03-23,39.5,39.6875,39.0,39.6875,29.547210693359375,4600
2001-03-26,39.75,40.25,38.6875,38.6875,28.802701950073242,2100
2001-03-27,39.5,40.25,39.28125,39.8125,29.640268325805664,6600
2001-03-28,40.25,40.25,38.25,39.25,29.22149085998535,5700
2001-03-29,40.0,40.0,38.75,39.3125,29.268020629882812,14300
2001-03-30,38.0,40.4375,38.0,40.4375,30.105575561523438,12000
2001-04-02,38.9375,39.9375,38.9375,39.9375,29.733333587646484,2800
2001-04-03,39.0,39.5625,38.875,38.875,28.94229507446289,800
2001-04-04,38.09375,39.875,38.0625,38.625,28.756183624267578,2100
2001-04-05,40.0,40.0,38.5,38.953125,29.000465393066406,500
2001-04-06,38.5625,39.625,38.5,39.1875,29.17496109008789,2200
2001-04-09,39.4900016784668,39.4900016784668,38.63999938964844,38.900001525878906,28.96091651916504,6100
2001-04-10,39.40999984741211,40.0,39.40999984741211,39.75,29.59373664855957,3800
2001-04-11,40.04999923706055,40.04999923706055,39.33000183105469,39.33000183105469,29.28104019165039,8600
2001-04-12,39.70000076293945,39.70000076293945,39.5,39.5,29.407615661621094,1900
2001-04-16,39.18000030517578,40.0,39.18000030517578,39.31999969482422,29.273595809936523,3800
2001-04-17,39.18000030517578,39.970001220703125,39.18000030517578,39.95000076293945,29.742637634277344,900
2001-04-18,39.31999969482422,39.31999969482422,38.95000076293945,39.0,29.03536605834961,8500
2001-04-19,39.93000030517578,40.189998626708984,39.45000076293945,40.0,29.77985954284668,12900
2001-04-20,39.5,40.0,39.5,40.0,29.77985954284668,1300
2001-04-23,40.0,40.0,39.529998779296875,40.0,29.77985954284668,7300
2001-04-24,40.0,40.0,40.0,40.0,29.77985954284668,100
2001-04-25,39.5099983215332,39.880001068115234,39.5099983215332,39.880001068115234,29.690526962280273,3700
2001-04-26,39.779998779296875,39.900001525878906,39.599998474121094,39.599998474121094,29.482051849365234,400
